scenario,classifier,batch_balance,normalization,repeat_id,split,error
jama_scenario1_3,rf,True,vsn,2,90,0.212454212454212
jama_scenario1_3,rf,True,mn,3,90,0.184981684981685
jama_scenario1_3,rf,True,non,3,90,0.164835164835165
jama_scenario1_3,rf,True,qn,3,90,0.179487179487179
jama_scenario1_3,rf,True,vsn,3,90,0.188644688644689
jama_scenario1_3,rf,True,mn,1,100,0.264220183486239
jama_scenario1_3,rf,True,non,1,100,0.212844036697248
jama_scenario1_3,rf,True,qn,1,100,0.256880733944954
jama_scenario1_3,rf,True,vsn,1,100,0.26605504587156
jama_scenario1_3,rf,True,mn,2,100,0.264220183486239
jama_scenario1_3,rf,True,non,2,100,0.188990825688073
jama_scenario1_3,rf,True,qn,2,100,0.326605504587156
jama_scenario1_3,rf,True,vsn,2,100,0.242201834862385
jama_scenario1_3,rf,True,mn,3,100,0.322935779816514
jama_scenario1_3,rf,True,non,3,100,0.177981651376147
jama_scenario1_3,rf,True,qn,3,100,0.258715596330275
jama_scenario1_3,rf,True,vsn,3,100,0.311926605504587
jama_scenario1_3,svm,True,mn,1,50,0.0897435897435897
jama_scenario1_3,svm,True,non,1,50,0.153846153846154
jama_scenario1_3,svm,True,qn,1,50,0.100732600732601
jama_scenario1_3,svm,True,vsn,1,50,0.0897435897435897
jama_scenario1_3,svm,True,mn,2,50,0.124542124542125
jama_scenario1_3,svm,True,non,2,50,0.181318681318681
jama_scenario1_3,svm,True,qn,2,50,0.152014652014652
jama_scenario1_3,svm,True,vsn,2,50,0.141025641025641
jama_scenario1_3,svm,True,mn,3,50,0.0824175824175824
jama_scenario1_3,svm,True,non,3,50,0.148351648351648
jama_scenario1_3,svm,True,qn,3,50,0.0952380952380952
jama_scenario1_3,svm,True,vsn,3,50,0.0860805860805861
jama_scenario1_3,svm,True,mn,1,70,0.111721611721612
jama_scenario1_3,svm,True,non,1,70,0.148351648351648
jama_scenario1_3,svm,True,qn,1,70,0.124542124542125
jama_scenario1_3,svm,True,vsn,1,70,0.120879120879121
jama_scenario1_3,svm,True,mn,2,70,0.108058608058608
jama_scenario1_3,svm,True,non,2,70,0.146520146520147
jama_scenario1_3,svm,True,qn,2,70,0.119047619047619
jama_scenario1_3,svm,True,vsn,2,70,0.126373626373626
jama_scenario1_3,svm,True,mn,3,70,0.102564102564103
jama_scenario1_3,svm,True,non,3,70,0.159340659340659
jama_scenario1_3,svm,True,qn,3,70,0.106227106227106
jama_scenario1_3,svm,True,vsn,3,70,0.102564102564103
jama_scenario1_3,svm,True,mn,1,80,0.108256880733945
jama_scenario1_3,svm,True,non,1,80,0.148623853211009
jama_scenario1_3,svm,True,qn,1,80,0.135779816513761
jama_scenario1_3,svm,True,vsn,1,80,0.132110091743119
jama_scenario1_3,svm,True,mn,2,80,0.111926605504587
jama_scenario1_3,svm,True,non,2,80,0.144954128440367
jama_scenario1_3,svm,True,qn,2,80,0.115596330275229
jama_scenario1_3,svm,True,vsn,2,80,0.124770642201835
jama_scenario1_3,svm,True,mn,3,80,0.132110091743119
jama_scenario1_3,svm,True,non,3,80,0.176146788990826
jama_scenario1_3,svm,True,qn,3,80,0.130275229357798
jama_scenario1_3,svm,True,vsn,3,80,0.121100917431193
jama_scenario1_3,svm,True,mn,1,90,0.172161172161172
jama_scenario1_3,svm,True,non,1,90,0.183150183150183
jama_scenario1_3,svm,True,qn,1,90,0.179487179487179
jama_scenario1_3,svm,True,vsn,1,90,0.173992673992674
jama_scenario1_3,svm,True,mn,2,90,0.15018315018315
jama_scenario1_3,svm,True,non,2,90,0.144688644688645
jama_scenario1_3,svm,True,qn,2,90,0.153846153846154
jama_scenario1_3,svm,True,vsn,2,90,0.161172161172161
jama_scenario1_3,svm,True,mn,3,90,0.142857142857143
jama_scenario1_3,svm,True,non,3,90,0.172161172161172
jama_scenario1_3,svm,True,qn,3,90,0.157509157509158
jama_scenario1_3,svm,True,vsn,3,90,0.146520146520147
jama_scenario1_3,svm,True,mn,1,100,0.23302752293578
jama_scenario1_3,svm,True,non,1,100,0.212844036697248
jama_scenario1_3,svm,True,qn,1,100,0.271559633027523
jama_scenario1_3,svm,True,vsn,1,100,0.24954128440367
jama_scenario1_3,svm,True,mn,2,100,0.225688073394495
jama_scenario1_3,svm,True,non,2,100,0.187155963302752
jama_scenario1_3,svm,True,qn,2,100,0.256880733944954
jama_scenario1_3,svm,True,vsn,2,100,0.238532110091743
jama_scenario1_3,svm,True,mn,3,100,0.328440366972477
jama_scenario1_3,svm,True,non,3,100,0.18348623853211
jama_scenario1_3,svm,True,qn,3,100,0.310091743119266
jama_scenario1_3,svm,True,vsn,3,100,0.262385321100917
