scenario,classifier,batch_balance,normalization,split,error_mean,error_sd,error_min,error_max,n_runs
jama_scenario1_3,svm,True,mn,90,0.155067155067155,0.015250300362389122,0.142857142857143,0.172161172161172,3
jama_scenario1_3,svm,True,mn,100,0.26238532110091733,0.05732293340114982,0.225688073394495,0.328440366972477,3
jama_scenario1_3,svm,True,non,50,0.16117216117216102,0.017662364031122552,0.148351648351648,0.181318681318681,3
jama_scenario1_3,svm,True,non,70,0.15140415140415134,0.006933954024175869,0.146520146520147,0.159340659340659,3
jama_scenario1_3,svm,True,non,80,0.15657492354740066,0.01704875824436273,0.144954128440367,0.176146788990826,3
jama_scenario1_3,svm,True,non,90,0.16666666666666666,0.01981072129375792,0.144688644688645,0.183150183150183,3
jama_scenario1_3,svm,True,non,100,0.19449541284403668,0.015995959425837616,0.18348623853211,0.212844036697248,3
jama_scenario1_3,svm,True,qn,50,0.11599511599511607,0.031314575343668216,0.0952380952380952,0.152014652014652,3
jama_scenario1_3,svm,True,qn,70,0.11660561660561668,0.009398537434884714,0.106227106227106,0.124542124542125,3
jama_scenario1_3,svm,True,qn,80,0.12721712538226268,0.01043346917995838,0.115596330275229,0.135779816513761,3
jama_scenario1_3,svm,True,qn,90,0.16361416361416367,0.013867908048351871,0.153846153846154,0.179487179487179,3
jama_scenario1_3,svm,True,qn,100,0.2795107033639143,0.027482130811817742,0.256880733944954,0.310091743119266,3
jama_scenario1_3,svm,True,vsn,50,0.10561660561660559,0.03071976953701861,0.0860805860805861,0.141025641025641,3
jama_scenario1_3,svm,True,vsn,70,0.11660561660561668,0.012466775248267115,0.102564102564103,0.126373626373626,3
jama_scenario1_3,svm,True,vsn,80,0.12599388379204898,0.005605597180373798,0.121100917431193,0.132110091743119,3
jama_scenario1_3,svm,True,vsn,90,0.16056166056166066,0.013746434980705127,0.146520146520147,0.173992673992674,3
jama_scenario1_3,svm,True,vsn,100,0.2501529051987767,0.011938361648894726,0.238532110091743,0.262385321100917,3
jama_scenario1_3,xgb,True,mn,50,0.11660561660561668,0.006432023048139714,0.10989010989011,0.122710622710623,3
jama_scenario1_3,xgb,True,mn,70,0.11477411477411466,0.0010574180754383995,0.113553113553114,0.115384615384615,3
jama_scenario1_3,xgb,True,mn,80,0.13700305810397564,0.010593582920910559,0.124770642201835,0.143119266055046,3
jama_scenario1_3,xgb,True,mn,90,0.18315018315018297,0.03391988860339231,0.148351648351648,0.216117216117216,3
jama_scenario1_3,xgb,True,mn,100,0.26544342507645263,0.010751312435013411,0.253211009174312,0.273394495412844,3
jama_scenario1_3,xgb,True,non,50,0.1129426129426131,0.025267646015354025,0.0842490842490843,0.131868131868132,3
jama_scenario1_3,xgb,True,non,70,0.12148962148962167,0.013988326297179306,0.106227106227106,0.133699633699634,3
jama_scenario1_3,xgb,True,non,80,0.13577981651376167,0.013231380827390614,0.121100917431193,0.146788990825688,3
jama_scenario1_3,xgb,True,non,90,0.16178266178266199,0.02418229831543117,0.135531135531136,0.183150183150183,3
jama_scenario1_3,xgb,True,non,100,0.19143730886850166,0.017821164873802513,0.176146788990826,0.211009174311927,3
jama_scenario1_3,xgb,True,qn,50,0.11416361416361408,0.022605016583117886,0.0952380952380952,0.139194139194139,3
jama_scenario1_3,xgb,True,qn,70,0.11965811965811966,0.012993770850911546,0.108058608058608,0.133699633699634,3
jama_scenario1_3,xgb,True,qn,80,0.12844036697247732,0.027705814441360548,0.102752293577982,0.157798165137615,3
jama_scenario1_3,xgb,True,qn,90,0.18070818070818065,0.020174251088959632,0.157509157509158,0.194139194139194,3
jama_scenario1_3,xgb,True,qn,100,0.28073394495412834,0.0018348623853215035,0.278899082568807,0.28256880733945,3
jama_scenario1_3,xgb,True,vsn,50,0.12820512820512833,0.013207147529172224,0.117216117216117,0.142857142857143,3
jama_scenario1_3,xgb,True,vsn,70,0.12698412698412734,0.014803853056144088,0.113553113553114,0.142857142857143,3
jama_scenario1_3,xgb,True,vsn,80,0.13883792048929666,0.014252208192942943,0.122935779816514,0.15045871559633,3
jama_scenario1_3,xgb,True,vsn,90,0.18009768009768035,0.005887454677040853,0.175824175824176,0.186813186813187,3
jama_scenario1_3,xgb,True,vsn,100,0.253822629969419,0.045699984937547844,0.223853211009174,0.306422018348624,3
